recno,GaiaEDR3,RA_ICRS,DE_ICRS,Gmag,e_Gmag,plx,e_plx,Bp-Rp,e_Bp-Rp,pmRA,e_pmRA,pmDE,e_pmDE,_RA_icrs,_DE_icrs
1072,66431775295228288,57.6757,23.4924,17.7134,0.001,7.62,0.12,3.3473,0.1326,21.07,0.16,-45.95,0.09,57.6756,23.4926
1025,66441323003146112,57.7637,23.5832,17.5357,0.0011,7.26,0.12,3.2468,0.1694,17.98,0.15,-44.83,0.09,57.7636,23.5834
1015,66445038154189952,57.7996,23.7452,17.5128,9.0E-4,7.36,0.12,3.1789,0.1617,18.66,0.16,-45.62,0.08,57.7995,23.7454
815,66451429065390080,57.3743,23.6485,16.7971,0.0017,7.4,0.09,3.1768,0.1265,19.23,0.12,-46.27,0.07,57.3742,23.6487
569,66451497784867712,57.3396,23.6516,15.7862,7.0E-4,7.38,0.05,2.7804,0.089,18.2,0.05,-45.56,0.04,57.3395,23.6518
814,66452047540860160,57.3802,23.6886,16.7967,9.0E-4,7.36,0.07,3.1152,0.1065,19.96,0.1,-44.52,0.06,57.3801,23.6888
467,66452734735432192,57.4931,23.7092,15.1602,8.0E-4,7.27,0.03,2.4876,0.0601,17.4,0.04,-44.87,0.02,57.493,23.7094
175,66452769091505024,57.4599,23.7054,11.353,7.0E-4,7.21,0.02,1.0199,0.0038,19.59,0.03,-44.02,0.02,57.4598,23.7056
1070,66453181412027392,57.4902,23.7243,17.6991,0.002,7.23,0.12,3.4091,0.1388,19.1,0.15,-45.25,0.09,57.4901,23.7245
8,66453490649681280,57.4315,23.7116,6.1592,3.0E-4,7.46,0.05,-0.0497,1.0E-4,17.87,0.06,-45.57,0.03,57.4314,23.7118
1082,66460225158376192,57.5526,23.8134,17.7706,0.0011,7.44,0.13,3.4067,0.1494,19.49,0.19,-46.44,0.09,57.5525,23.8136
102,66462939577861248,57.6671,23.9328,10.1618,6.0E-4,7.25,0.02,0.7804,9.0E-4,18.71,0.03,-44.36,0.02,57.667,23.933
894,66468918172339328,57.8928,23.797,17.0619,8.0E-4,7.24,0.08,3.0968,0.1849,19.11,0.1,-45.42,0.06,57.8927,23.7972
900,66469742806047744,57.9134,23.8549,17.0951,8.0E-4,7.57,0.09,3.3207,0.1378,18.86,0.11,-46.43,0.07,57.9133,23.8551
944,66470567439742208,58.078,23.8767,17.2305,0.0011,7.52,0.1,3.1836,0.1434,18.48,0.11,-45.77,0.07,58.0779,23.8769
92,66471220274934272,57.987,23.9018,9.9267,3.0E-4,7.57,0.02,0.7523,0.0019,20.57,0.02,-45.93,0.01,57.9869,23.902
714,66473178779856768,58.139,23.8517,16.4765,7.0E-4,7.44,0.06,2.9269,0.1232,19.55,0.07,-44.83,0.04,58.1389,23.8519
1116,66473728535654784,58.1846,23.904,17.9819,0.0012,7.47,0.15,3.4128,0.1875,17.72,0.16,-44.79,0.11,58.1845,23.9042
216,66480944080770176,57.8204,23.8264,12.0902,5.0E-4,7.33,0.02,1.2308,0.0074,19.84,0.02,-46.76,0.01,57.8203,23.8266
307,66481734354737792,57.8557,23.8892,13.4651,0.001,7.37,0.02,1.7395,0.0106,19.11,0.02,-46.86,0.01,57.8556,23.8894
276,66481837433947392,57.8748,23.899,13.0282,0.001,7.5,0.02,1.5706,0.0071,18.76,0.03,-45.89,0.02,57.8747,23.8992
366,66482868226100096,57.8004,23.9324,14.0814,0.0011,7.52,0.02,2.033,0.0178,19.63,0.02,-46.63,0.02,57.8003,23.9326
760,66483761579269888,57.9794,23.9615,16.5948,7.0E-4,7.52,0.07,2.9743,0.1133,18.94,0.07,-46.25,0.05,57.9793,23.9617
777,66483795939004416,57.9932,23.9719,16.6543,8.0E-4,7.32,0.07,2.9777,0.1158,17.54,0.07,-45.79,0.05,57.9931,23.9721
794,66485582645439104,57.7424,23.9284,16.709,8.0E-4,7.21,0.06,3.0027,0.1727,18.43,0.08,-43.31,0.05,57.7423,23.9286
262,66489259137570816,57.8518,24.0872,12.7793,8.0E-4,7.47,0.02,1.4697,0.0065,19.14,0.02,-45.08,0.01,57.8517,24.0874
923,66490977124308480,57.9752,24.0474,17.1763,0.0025,6.89,0.14,,,19.48,0.15,-43.63,0.11,57.9751,24.0476
841,66497952151148544,58.0187,24.2442,16.8739,9.0E-4,7.51,0.08,2.9687,0.1258,19.03,0.11,-44.58,0.07,58.0186,24.2444
160,66499154741977216,57.3699,23.712,11.1769,6.0E-4,7.59,0.02,0.9985,0.0026,19.94,0.03,-47.45,0.02,57.3698,23.7122
423,66500013736315264,57.2745,23.7396,14.7874,0.0012,7.63,0.09,2.4433,0.0263,21.18,0.12,-45.5,0.09,57.2744,23.7398
137,66501181966524800,57.3881,23.7952,10.747,4.0E-4,7.26,0.02,0.8867,0.0019,19.92,0.02,-43.75,0.01,57.388,23.7954
154,66502281478384000,57.3503,23.839,11.1145,6.0E-4,7.3,0.16,0.9815,0.0022,18.99,0.22,-46.82,0.13,57.3502,23.8392
121,66503449709270400,57.2756,23.781,10.4305,0.0013,7.24,0.04,1.0322,5.0E-4,20.36,0.04,-45.96,0.03,57.2755,23.7812
39,66506331628024832,57.3009,23.8866,8.1017,4.0E-4,7.42,0.03,0.2963,3.0E-4,19.62,0.04,-45.17,0.02,57.3008,23.8868
107,66507469798632320,57.4895,23.8469,10.2347,0.0014,7.64,0.25,0.9069,4.0E-4,21.53,0.28,-43.57,0.18,57.4894,23.8471
14,66507469798631808,57.492,23.8485,6.8064,3.0E-4,7.39,0.04,0.0553,1.0E-4,18.38,0.05,-45.87,0.03,57.4919,23.8487
97,66507469798631936,57.4912,23.8479,10.0052,0.0012,7.36,0.03,,,21.03,0.04,-48.13,0.03,57.4911,23.8481
560,66507882115488128,57.5091,23.8622,15.7395,6.0E-4,7.59,0.04,2.7263,0.1059,19.78,0.06,-45.29,0.03,57.509,23.8624
656,66509771901085696,57.5519,23.9265,16.2591,9.0E-4,7.46,0.08,3.2134,0.1038,20.69,0.1,-45.66,0.06,57.5518,23.9267
669,66511970924353792,57.3856,23.9283,16.3048,0.0014,7.53,0.06,2.906,0.1281,18.38,0.09,-45.35,0.05,57.3855,23.9285
633,66512074003566976,57.4006,23.9396,16.1547,0.001,7.29,0.06,2.8706,0.0879,19.41,0.08,-44.57,0.04,57.4005,23.9398
1171,66515196441155712,57.4685,24.0618,18.4307,0.0016,7.27,0.2,3.5397,0.1583,19.95,0.24,-44.74,0.16,57.4684,24.062
768,66515922294233728,57.4813,24.1012,16.6153,0.0011,7.31,0.07,2.984,0.0961,18.96,0.09,-43.54,0.05,57.4812,24.1014
108,66517468482370304,57.0714,23.8902,10.2457,4.0E-4,7.29,0.02,0.7977,0.0013,17.89,0.02,-45.5,0.01,57.0713,23.8904
359,66517468482370176,57.0751,23.8913,13.9759,3.0E-4,7.3,0.02,1.9212,0.0399,19.1,0.03,-45.35,0.02,57.075,23.8915
886,66521179334108928,57.1241,23.9681,17.0466,0.0011,7.25,0.09,3.0934,0.1232,19.51,0.11,-44.3,0.08,57.124,23.9683
682,66521381194879232,57.0555,23.9795,16.3409,9.0E-4,7.55,0.06,2.9869,0.0741,19.66,0.07,-45.84,0.05,57.0554,23.9797
727,66522107047046656,57.0384,23.9778,16.5136,9.0E-4,7.27,0.06,2.8769,0.0958,18.5,0.09,-46.78,0.06,57.0383,23.978
1081,66522137109124096,57.0425,23.9888,17.7649,0.0014,7.16,0.12,3.3512,0.1187,20.4,0.16,-46.03,0.1,57.0424,23.989
724,66522381924952704,57.0277,24.0017,16.5016,0.0012,7.19,0.06,2.9572,0.0724,19.08,0.08,-44.48,0.05,57.0276,24.0019
817,66523103479455744,57.1327,24.0328,16.8034,0.0017,7.14,0.08,3.0418,0.0725,18.54,0.1,-44.38,0.06,57.1326,24.033
820,66523103479455232,57.1408,24.0328,16.8146,8.0E-4,7.07,0.08,2.9588,0.1181,19.3,0.11,-44.18,0.06,57.1407,24.033
91,66523893753437824,57.1091,24.0482,9.9035,4.0E-4,7.42,0.02,0.7341,0.0011,19.67,0.02,-46.26,0.01,57.109,24.0484
838,66525061984664832,57.3201,24.0161,16.8683,0.002,7.58,0.13,3.102,0.0462,21.35,0.17,-45.86,0.1,57.32,24.0163
1067,66525096340629504,57.3202,24.0164,17.6899,0.0024,7.25,0.2,,,17.88,0.23,-45.2,0.12,57.3201,24.0166
2,66529975427235712,57.2968,24.1365,5.2033,9.0E-4,7.24,0.13,-0.0331,0.0,19.5,0.15,-47.65,0.1,57.2967,24.1367
753,66531178017967872,57.1918,24.17,16.5807,0.0011,7.27,0.08,2.9257,0.1025,19.05,0.1,-45.25,0.06,57.1917,24.1702
1119,66532174450470656,57.3881,24.2178,17.9946,0.0014,7.39,0.15,3.4823,0.1328,20.98,0.18,-47.48,0.14,57.388,24.218
704,66532621126978304,57.2563,24.1938,16.4435,9.0E-4,7.26,0.06,2.9395,0.1006,17.89,0.08,-46.6,0.05,57.2562,24.194
834,66533170882790784,57.2976,24.24,16.851,0.001,7.19,0.07,3.0044,0.1281,19.36,0.09,-45.8,0.05,57.2975,24.2402
504,66536331978799616,57.7393,24.1084,15.4393,9.0E-4,7.28,0.03,2.5499,0.0648,19.0,0.04,-44.1,0.02,57.7392,24.1086
179,66537981246228096,57.7296,24.1972,11.4256,6.0E-4,7.16,0.02,1.027,0.003,18.86,0.02,-43.39,0.02,57.7295,24.1974
304,66539252556578816,57.5211,24.1238,13.447,0.001,7.42,0.02,1.7278,0.0102,18.33,0.02,-46.98,0.01,57.521,24.124
920,66541142342159232,57.6769,24.2152,17.1688,0.001,7.33,0.1,3.061,0.1342,19.76,0.1,-44.79,0.07,57.6768,24.2154
441,66542551091588352,57.8295,24.1701,14.9949,5.0E-4,7.71,0.03,2.4956,0.0762,20.71,0.03,-48.22,0.02,57.8294,24.1703
771,66546742979468416,57.9264,24.3613,16.6313,8.0E-4,7.34,0.07,2.9189,0.1443,19.79,0.08,-44.49,0.05,57.9263,24.3615
439,66550350752004352,57.7981,24.3868,14.9802,6.0E-4,7.7,0.08,2.5868,0.0764,18.59,0.1,-43.34,0.06,57.798,24.387
1089,66551686483467904,57.4982,24.1959,17.7956,0.0013,7.21,0.12,3.3513,0.1206,19.93,0.15,-43.62,0.1,57.4981,24.1961
641,66553443128503552,57.5637,24.2265,16.2024,0.0013,7.42,0.06,2.8745,0.1061,19.3,0.06,-44.28,0.04,57.5636,24.2267
1208,66553885506789504,57.5798,24.276,18.8353,0.0021,7.85,0.27,3.6531,0.1512,19.28,0.29,-47.24,0.22,57.5797,24.2762
393,66555573432261376,57.5537,24.3516,14.4625,3.0E-4,7.24,0.03,2.2068,0.057,17.83,0.03,-44.35,0.03,57.5536,24.3518
486,66555573432261120,57.5542,24.3518,15.3311,7.0E-4,7.24,0.05,,,18.91,0.05,-46.55,0.04,57.5541,24.352
34,66555985749157760,57.3584,24.2475,7.9557,3.0E-4,7.45,0.03,0.2338,3.0E-4,21.25,0.04,-46.07,0.02,57.3583,24.2477
184,66556535504958848,57.4024,24.2959,11.4759,8.0E-4,7.46,0.02,1.0648,0.0028,18.18,0.03,-45.94,0.02,57.4023,24.2961
651,66556535504957568,57.4023,24.3037,16.2405,9.0E-4,7.18,0.06,2.801,0.1084,18.71,0.06,-45.76,0.04,57.4022,24.3039
615,66556672943906688,57.428,24.3186,16.0431,7.0E-4,7.47,0.06,3.0496,0.0905,20.45,0.07,-47.84,0.05,57.4279,24.3188
26,66558249192653952,57.4859,24.3488,7.546,3.0E-4,7.32,0.03,0.0899,2.0E-4,19.51,0.03,-44.6,0.02,57.4858,24.349
696,66560349435890176,57.6379,24.3392,16.4008,0.001,7.62,0.07,2.8873,0.1156,19.41,0.06,-46.91,0.05,57.6378,24.3394
785,66560727393001216,57.7278,24.3653,16.6795,9.0E-4,7.47,0.07,2.9675,0.1428,19.17,0.07,-47.1,0.05,57.7277,24.3655
1035,66562342296619520,57.7392,24.4122,17.5594,0.0022,7.91,0.17,3.4984,0.1444,19.05,0.19,-46.65,0.13,57.7391,24.4124
145,66565365957676416,57.5872,24.4665,10.9152,8.0E-4,7.25,0.02,0.9196,0.0014,20.35,0.03,-45.48,0.02,57.5871,24.4667
854,66565778274538624,57.5449,24.478,16.9258,0.001,7.4,0.1,3.1714,0.1552,18.49,0.1,-45.29,0.09,57.5448,24.4782
228,66566946505629440,57.6442,24.5076,12.2869,8.0E-4,7.22,0.02,1.2708,0.004,19.84,0.02,-45.04,0.02,57.6441,24.5078
861,66567427541958784,57.7292,24.5508,16.9554,8.0E-4,6.97,0.08,3.0627,0.1346,17.49,0.1,-42.37,0.07,57.7291,24.551
159,66570554277316992,58.3489,24.0648,11.1737,9.0E-4,7.26,0.02,0.9978,0.0015,19.43,0.03,-45.3,0.02,58.3488,24.065
321,66581549393480704,58.6186,24.3209,13.5826,7.0E-4,7.42,0.02,1.786,0.0198,18.82,0.02,-46.76,0.01,58.6185,24.3211
141,66581961710329984,58.6053,24.3599,10.8503,0.0015,7.34,0.02,0.9655,6.0E-4,18.21,0.02,-45.54,0.01,58.6052,24.3601
219,66584332530000512,58.5372,24.3335,12.1848,6.0E-4,7.37,0.03,1.3437,0.0042,16.63,0.03,-46.42,0.02,58.5371,24.3337
1209,66592265333776512,58.0243,24.2918,18.8377,0.0021,7.06,0.25,3.1164,0.1362,17.71,0.3,-44.58,0.19,58.0242,24.292
917,66593437863017984,58.1854,24.3497,17.1618,0.0011,7.34,0.08,3.1553,0.15,18.29,0.11,-44.6,0.07,58.1853,24.3499
459,66597767189992832,58.4207,24.4192,15.0934,8.0E-4,7.25,0.03,2.4002,0.0721,17.97,0.04,-43.58,0.03,58.4206,24.4194
253,66612473157921024,58.7191,24.5761,12.6038,7.0E-4,7.21,0.02,1.6745,0.0081,18.67,0.02,-43.91,0.01,58.719,24.5763
1176,66623605713181184,58.5017,24.5804,18.458,0.0021,7.66,0.21,3.5716,0.158,18.51,0.26,-45.63,0.15,58.5016,24.5806
1130,66624357329718400,58.6631,24.5983,18.0863,0.0016,7.51,0.16,3.5286,0.1606,19.71,0.2,-45.14,0.12,58.663,24.5985
959,66628995894842624,58.6044,24.712,17.2938,0.0063,7.6,0.46,3.4331,0.1259,20.33,0.52,-46.12,0.34,58.6043,24.7122
233,66640712564777856,57.9725,24.3868,12.3414,0.0022,7.35,0.02,1.3302,0.0017,20.08,0.02,-46.27,0.01,57.9724,24.387
1218,66642641008348544,58.0736,24.4549,18.9147,0.0024,7.75,0.25,,,20.17,0.32,-45.24,0.19,58.0735,24.4551
735,66642641008348416,58.0732,24.4553,16.5356,8.0E-4,7.41,0.06,3.0047,0.1109,19.25,0.08,-45.38,0.05,58.0731,24.4555
823,66648001127514368,58.1802,24.4661,16.8203,0.001,7.33,0.07,3.0431,0.1117,18.09,0.1,-44.69,0.06,58.1801,24.4663
503,66649409876772096,58.1289,24.5442,15.4355,6.0E-4,7.19,0.05,2.8776,0.0816,18.93,0.07,-44.09,0.04,58.1288,24.5444
401,66652467893487488,58.0861,24.5653,14.5097,6.0E-4,7.18,0.02,2.2129,0.0417,18.5,0.03,-44.62,0.02,58.086,24.5655
68,66655560269868544,58.2229,24.7155,9.3416,2.0E-4,7.35,0.02,0.6381,0.0011,18.18,0.03,-45.04,0.02,58.2228,24.7157
53,66657415696297344,57.8635,24.5184,8.7696,3.0E-4,7.25,0.03,0.5342,0.0014,19.75,0.03,-45.45,0.02,57.8634,24.5186
687,66658240329321088,57.7651,24.543,16.3607,9.0E-4,7.47,0.06,2.9431,0.1002,19.25,0.07,-46.17,0.05,57.765,24.5432
213,66658996243552000,57.9138,24.5487,12.009,0.0014,7.48,0.01,1.2228,0.0018,21.23,0.02,-46.06,0.01,57.9137,24.5489
711,66659271121456768,57.8917,24.569,16.4685,0.001,7.42,0.07,2.9859,0.0966,20.34,0.09,-46.72,0.05,57.8916,24.5692
749,66659408560406528,57.913,24.5913,16.5716,6.0E-4,7.35,0.06,2.9861,0.1226,19.76,0.09,-44.27,0.05,57.9129,24.5915
576,66665902550940800,57.9972,24.6662,15.8111,8.0E-4,7.25,0.04,2.7525,0.1031,17.58,0.05,-44.63,0.03,57.9971,24.6664
531,66665902550940672,57.9951,24.6677,15.6159,7.0E-4,7.27,0.04,2.651,0.0909,18.01,0.05,-44.89,0.03,57.995,24.6679
438,66671468828544384,57.8579,24.794,14.9762,5.0E-4,7.61,0.05,2.7175,0.0914,19.72,0.06,-46.5,0.04,57.8578,24.7942
340,66694455493470464,58.2465,24.9013,13.7374,0.0013,7.3,0.02,1.8535,0.0116,20.67,0.02,-45.25,0.01,58.2464,24.9015
1206,66695688147432832,58.2331,24.9615,18.7821,0.0019,7.42,0.24,3.5685,0.1729,19.22,0.26,-46.56,0.19,58.233,24.9617
758,66697547870378368,58.0473,24.93,16.586,8.0E-4,7.72,0.07,-0.4035,0.1131,21.71,0.09,-47.76,0.05,58.0472,24.9302
770,66702048996405632,58.3521,25.0351,16.6306,8.0E-4,7.46,0.08,3.2042,0.1266,19.22,0.09,-46.07,0.06,58.352,25.0353
1227,66709333257230720,58.3511,25.2437,19.1153,0.0032,7.85,0.35,3.2837,0.176,18.77,0.4,-47.55,0.27,58.351,25.2439
420,66710845088732160,56.9434,24.0505,14.753,0.001,7.56,0.03,2.3097,0.0287,20.17,0.03,-46.51,0.02,56.9433,24.0507
807,66710948167949696,56.8939,24.0396,16.7733,0.001,7.49,0.07,2.907,0.0744,19.01,0.09,-44.97,0.06,56.8938,24.0398
668,66711532283494656,56.9407,24.0935,16.304,0.0023,7.36,0.06,2.8831,0.0464,20.16,0.07,-43.68,0.05,56.9406,24.0937
801,66712253837994880,57.0268,24.1142,16.7403,0.0012,7.22,0.08,2.9884,0.0564,20.11,0.11,-46.85,0.06,57.0267,24.1144
76,66713044112564864,57.03,24.1419,9.4408,0.0023,7.37,0.44,0.7195,3.0E-4,17.9,0.71,-46.44,0.39,57.0299,24.1421
953,66714177981308800,56.8747,24.0969,17.2827,0.0051,7.31,0.16,1.654,0.0149,19.55,0.21,-44.04,0.15,56.8746,24.0971
835,66714418501518848,56.8724,24.1141,16.8533,0.0027,7.31,0.1,2.0879,0.0135,20.94,0.13,-44.54,0.09,56.8723,24.1143
9,66715105696289024,56.8378,24.1161,6.2988,4.0E-4,7.2,0.06,0.0094,0.0,20.34,0.07,-45.08,0.04,56.8377,24.1163
43,66715273197982848,56.8307,24.1389,8.2439,3.0E-4,7.27,0.03,0.3539,4.0E-4,19.02,0.03,-43.93,0.02,56.8306,24.1391
843,66715827250786432,56.8834,24.1734,16.8774,0.0018,7.49,0.11,3.014,0.0702,20.57,0.16,-45.74,0.09,56.8833,24.1736
1068,66716136489019008,56.8729,24.2053,17.6907,0.0017,7.39,0.15,3.0472,0.0303,19.2,0.2,-44.77,0.12,56.8728,24.2055
1013,66717987616472704,56.9861,24.2587,17.4945,0.0015,7.43,0.12,3.2398,0.0872,20.51,0.16,-44.72,0.09,56.986,24.2589
994,66719194505127168,57.148,24.2007,17.413,0.0018,7.21,0.12,3.2321,0.1022,20.72,0.19,-45.72,0.1,57.1479,24.2009
513,66719228864863360,57.1664,24.2117,15.502,7.0E-4,7.39,0.04,2.6147,0.0738,18.47,0.06,-46.53,0.03,57.1663,24.2119
617,66720294016753280,57.1052,24.2404,16.0584,0.0026,7.47,0.1,3.0991,0.0889,19.54,0.14,-45.68,0.08,57.1051,24.2406
434,66720534534913792,57.1295,24.2813,14.9441,7.0E-4,7.34,0.03,2.4509,0.0532,20.56,0.04,-46.53,0.02,57.1294,24.2815
133,66720946851771904,57.2041,24.2672,10.7059,0.0011,6.9,0.03,1.0694,9.0E-4,17.79,0.04,-47.54,0.03,57.204,24.2674
415,66722355601033600,57.2391,24.3286,14.6992,7.0E-4,7.4,0.04,2.5805,0.047,19.01,0.05,-45.45,0.03,57.239,24.3288
1184,66722660540945408,57.2319,24.361,18.5499,0.0017,7.32,0.18,3.724,0.2224,19.27,0.23,-44.91,0.15,57.2318,24.3612
41,66724451545088128,57.0566,24.3182,8.2143,3.0E-4,7.41,0.09,0.5013,6.0E-4,17.89,0.11,-41.12,0.07,57.0565,24.3184
17,66725379258016768,57.1255,24.3453,6.9398,3.0E-4,6.9,0.22,0.1819,1.0E-4,19.61,0.27,-45.36,0.17,57.1254,24.3455
346,66727234683931520,56.765,24.1595,13.8264,0.0022,7.28,0.02,1.8953,0.0063,19.33,0.03,-44.72,0.02,56.7649,24.1597
1027,66728089380491648,56.796,24.2308,17.5421,0.0015,7.22,0.14,3.074,0.1128,19.51,0.23,-45.79,0.12,56.7959,24.231
1030,66728089380492160,56.7995,24.2314,17.5514,0.0023,7.19,0.16,3.3816,0.077,19.07,0.24,-43.3,0.14,56.7994,24.2316
888,66728128037119616,56.8256,24.2308,17.0565,0.0018,7.53,0.13,3.3392,0.0637,18.02,0.2,-46.55,0.12,56.8255,24.231
1033,66728128034922624,56.8257,24.2306,17.5569,0.0022,7.65,0.15,,,19.73,0.21,-46.55,0.13,56.8256,24.2308
933,66728265476081408,56.7306,24.1878,17.1924,0.0014,7.23,0.15,3.5799,0.0982,20.39,0.17,-44.02,0.12,56.7305,24.188
1186,66728501697350016,56.7578,24.2243,18.5673,0.0024,7.38,0.29,3.3201,0.1234,18.83,0.39,-43.8,0.24,56.7577,24.2245
1101,66729021390315904,56.7893,24.2595,17.859,0.0021,7.83,0.2,3.257,0.0703,18.71,0.26,-44.98,0.17,56.7892,24.2597
71,66729261908482048,56.792,24.2765,9.3766,2.0E-4,7.36,0.02,0.6451,0.0016,19.96,0.03,-44.5,0.02,56.7919,24.2767
1051,66729635568719872,56.8433,24.2384,17.6175,0.0014,7.5,0.14,3.4564,0.0845,20.21,0.18,-44.32,0.11,56.8432,24.2386
889,66729674225341696,56.8547,24.2546,17.0567,0.0014,7.55,0.1,3.0546,0.1225,21.09,0.13,-46.03,0.08,56.8546,24.2548
15,66729880383767168,56.8728,24.2881,6.8159,6.0E-4,7.23,0.05,0.1014,0.0,18.55,0.06,-46.92,0.03,56.8727,24.2883
286,66730120901930240,56.9183,24.3017,13.2676,0.0011,7.39,0.03,1.7036,0.0083,19.47,0.04,-47.07,0.02,56.9182,24.3019
1168,66730601936067072,56.8429,24.2831,18.3833,0.0022,7.49,0.21,3.5736,0.122,20.72,0.29,-47.5,0.17,56.8428,24.2833
1200,66731731512764416,56.7208,24.252,18.7244,0.0027,7.48,0.33,3.3802,0.1129,19.23,0.5,-44.24,0.27,56.7207,24.2522
436,66732423004453376,56.7234,24.2873,14.973,0.001,7.37,0.04,2.7212,0.0431,19.25,0.07,-47.5,0.03,56.7233,24.2875
243,66733552578791296,56.6555,24.3433,12.4411,0.0016,7.41,0.06,1.3933,7.0E-4,22.38,0.11,-45.52,0.06,56.6554,24.3435
260,66733556873061120,56.6553,24.3433,12.7441,0.0019,7.29,0.08,,,16.38,0.16,-44.76,0.09,56.6552,24.3435
546,66733763034205696,56.784,24.3066,15.6909,8.0E-4,7.38,0.06,2.7416,0.0724,21.06,0.07,-47.46,0.05,56.7839,24.3068
224,66734720809017856,56.8254,24.3906,12.2292,0.001,6.98,0.03,1.4833,0.0036,21.26,0.04,-45.55,0.03,56.8253,24.3908
872,66734725106867968,56.8144,24.3918,16.9974,0.0015,6.95,0.12,3.3264,0.1348,20.31,0.15,-45.22,0.1,56.8143,24.392
916,66735446661374976,56.7829,24.3937,17.1614,0.0014,7.03,0.11,3.0484,0.0895,19.5,0.16,-44.45,0.1,56.7828,24.3939
119,66737095928811648,56.9186,24.3644,10.4023,0.0011,7.4,0.02,0.847,6.0E-4,19.32,0.03,-45.46,0.02,56.9185,24.3646
424,66737405166459264,56.8776,24.3703,14.7985,0.0011,7.39,0.04,2.3478,0.0504,19.62,0.06,-46.59,0.03,56.8775,24.3705
852,66737576965143296,56.907,24.4063,16.9235,0.0013,7.34,0.11,3.2406,0.0943,20.07,0.15,-47.77,0.09,56.9069,24.4065
776,66738023641737088,56.9575,24.4285,16.6531,0.0014,7.34,0.08,3.0433,0.0905,20.41,0.09,-45.89,0.07,56.9574,24.4287
1262,66738328582414720,57.0793,24.4201,20.1682,0.0097,7.71,0.68,2.2044,0.1522,17.88,0.82,-43.09,0.64,57.0792,24.4203
337,66739982146803456,57.0721,24.5042,13.7177,0.0014,7.44,0.02,1.8534,0.0108,19.95,0.02,-46.22,0.02,57.072,24.5044
883,66740497542906368,56.884,24.4049,17.0433,0.001,7.58,0.11,3.0123,0.1037,19.45,0.13,-46.58,0.09,56.8839,24.4051
630,66741116018188416,56.9141,24.4587,16.1334,0.0014,7.18,0.08,2.9671,0.0637,19.09,0.09,-45.4,0.06,56.914,24.4589
444,66742765285619584,56.9624,24.505,15.0158,7.0E-4,7.36,0.04,2.4399,0.0553,18.64,0.04,-45.04,0.03,56.9623,24.5052
610,66745170467302656,57.2961,24.3474,16.0133,0.001,7.33,0.04,2.8443,0.1075,20.41,0.05,-45.02,0.04,57.296,24.3476
11,66745617143891968,57.3407,24.3808,6.6049,3.0E-4,7.19,0.04,-0.0326,1.0E-4,18.57,0.05,-45.35,0.03,57.3406,24.381
784,66745754582838272,57.365,24.4036,16.6729,8.0E-4,7.4,0.07,3.0495,0.127,19.23,0.07,-44.36,0.05,57.3649,24.4038
25,66746441777612416,57.3201,24.3959,7.5258,3.0E-4,7.01,0.03,0.1329,3.0E-4,19.74,0.03,-44.08,0.02,57.32,24.3961
204,66747816167123712,57.4262,24.4628,11.8998,7.0E-4,7.55,0.02,1.182,0.0033,18.68,0.02,-46.77,0.01,57.4261,24.463
489,66749121837171840,57.3877,24.5338,15.3597,8.0E-4,7.42,0.04,2.5901,0.071,20.21,0.04,-46.08,0.03,57.3876,24.534
1057,66750358787789056,57.1779,24.4552,17.6495,0.0011,7.94,0.11,3.2463,0.1259,19.43,0.12,-47.82,0.08,57.1778,24.4554
302,66753038847347456,57.3142,24.5671,13.4303,0.0012,7.34,0.03,1.7988,0.0085,18.09,0.03,-46.94,0.02,57.3141,24.5673
259,66754241438299520,57.5518,24.5327,12.7328,0.0015,7.22,0.02,1.4336,0.0037,19.11,0.02,-45.53,0.01,57.5517,24.5329
824,66755959425257856,57.576,24.5875,16.8213,8.0E-4,7.55,0.08,3.0035,0.138,19.59,0.09,-46.29,0.06,57.5759,24.5877
1011,66757746131459200,57.536,24.6715,17.4772,9.0E-4,7.31,0.11,3.1725,0.1644,19.46,0.13,-46.86,0.08,57.5359,24.6717
469,66761903659793152,57.4825,24.7419,15.1738,4.0E-4,7.53,0.03,2.5508,0.0875,20.01,0.04,-45.63,0.02,57.4824,24.7421
869,66763965244167808,57.0898,24.5786,16.9779,0.0015,7.3,0.09,2.9699,0.0659,18.46,0.1,-45.79,0.08,57.0897,24.5788
653,66765751950550144,57.1686,24.6093,16.2517,0.001,7.48,0.06,2.962,0.1201,21.09,0.06,-46.54,0.05,57.1685,24.6095
956,66765855029760768,57.1891,24.6238,17.2897,0.001,7.25,0.13,3.2268,0.1244,18.35,0.13,-47.15,0.11,57.189,24.624
1180,66765855029900288,57.1863,24.623,18.5073,0.0022,6.97,0.3,3.3674,0.1316,20.05,0.28,-45.13,0.25,57.1862,24.6232
1085,66767843597097856,56.9975,24.5935,17.7793,0.0017,7.36,0.14,3.3149,0.1235,19.79,0.14,-45.69,0.14,56.9974,24.5937
111,66771146429454592,57.299,24.6364,10.3047,4.0E-4,7.12,0.03,0.8061,0.002,20.68,0.03,-44.74,0.02,57.2989,24.6366
1063,66771764904729984,57.3386,24.6945,17.6834,0.0011,7.37,0.12,3.1411,0.1194,19.56,0.14,-44.66,0.08,57.3385,24.6947
246,66774513683782912,57.3359,24.7765,12.4596,0.0013,7.35,0.02,1.373,0.0033,19.2,0.02,-44.49,0.01,57.3358,24.7767
